"","user_id","session","Pack","Start Date","Start Time","End Date","End Time","Exit Status","Exit Screen","Build Date","Application Version","Android Version","Device ID","Device Manufacturer","Device Model","Launch Type","Beep File","Target Beep Time","Actual Beep Time","Screen Trail","bed_time","getup_time","sleep_quality","mindsharp","concentrate","game_distract","SYMBOL_SEARCH.median.RT.all_trials","SYMBOL_SEARCH.median.RT.accurate_trials","SYMBOL_SEARCH.median.RT.error_trials","SYMBOL_SEARCH.median.RT.lure_trials","SYMBOL_SEARCH.median.RT.normal_trials","SYMBOL_SEARCH.sd.RT.all_trials","SYMBOL_SEARCH.sd.RT.accurate_trials","SYMBOL_SEARCH.sd.RT.error_trials","SYMBOL_SEARCH.sd.RT.lure_trials","SYMBOL_SEARCH.sd.RT.normal_trials","SYMBOL_SEARCH.proportion.accurate.trials","SYMBOL_SEARCH.proportion.error.trials","SYMBOL_SEARCH.n.filtered.trials","SYMBOL_SEARCH.n.accurate.trials","SYMBOL_SEARCH.n.error.trials","SYMBOL_SEARCH.n.lure.trials","SYMBOL_SEARCH.n.normal.trials","SYMBOL_SEARCH.n.trials","SYMBOL_SEARCH.PACKAGE.VERSION","DOT_MEMORY.median.RT.all_trials","DOT_MEMORY.sd.RT.all_trials","DOT_MEMORY.median.RT.perfect_trials","DOT_MEMORY.sd.RT.perfect_trials","DOT_MEMORY.median.RT.nonperfect_trials","DOT_MEMORY.sd.RT.nonperfect_trials","DOT_MEMORY.median.error.distance.overall","DOT_MEMORY.sd.error.distance.overall","DOT_MEMORY.sum.error.distance.overall","DOT_MEMORY.count.perfect.dots","DOT_MEMORY.count.perfect.trials","DOT_MEMORY.n.filtered.trials","DOT_MEMORY.n.trials","DOT_MEMORY.prop.perfect.trials","DOT_MEMORY.PACKAGE.VERSION","COLOR_SHAPES.median.RT.all_trials","COLOR_SHAPES.median.RT.HIT_trials","COLOR_SHAPES.median.RT.FA_trials","COLOR_SHAPES.median.RT.MISS_trials","COLOR_SHAPES.median.RT.CR_trials","COLOR_SHAPES.sd.RT.all_trials","COLOR_SHAPES.sd.RT.HIT_trials","COLOR_SHAPES.sd.RT.FA_trials","COLOR_SHAPES.sd.RT.MISS_trials","COLOR_SHAPES.sd.RT.CR_trials","COLOR_SHAPES.n.HIT","COLOR_SHAPES.n.FA","COLOR_SHAPES.n.MISS","COLOR_SHAPES.n.CR","COLOR_SHAPES.n.change.trials","COLOR_SHAPES.n.no_change.trials","COLOR_SHAPES.n.filtered.trials","COLOR_SHAPES.n.trials","COLOR_SHAPES.HIT.rate","COLOR_SHAPES.FA.rate","COLOR_SHAPES.MISS.rate","COLOR_SHAPES.CR.rate","COLOR_SHAPES.CorRec.rate","COLOR_SHAPES.HIT.rate.adj","COLOR_SHAPES.FA.rate.adj","COLOR_SHAPES.MISS.rate.adj","COLOR_SHAPES.CR.rate.adj","COLOR_SHAPES.z.HIT.rate","COLOR_SHAPES.z.FA.rate","COLOR_SHAPES.z.MISS.rate","COLOR_SHAPES.z.CR.rate","COLOR_SHAPES.dprime","COLOR_SHAPES.beta","COLOR_SHAPES.c","COLOR_SHAPES.PACKAGE.VERSION","moment_surveys"
"1","305","1","Survey",2024-02-15,12:44:34,2024-02-15,12:49:40,"NORMAL","thank_you_screen","7/13/18 10:20 AM",1.1,9,"a2e6832dde271fe8","Xiaomi","Redmi Note 8","NORMAL_LAUNCH","NO_BEEP_FILE","NOT SET","NOT SET","before_intro>bedtime_screen>Getuptime_screen>sleep_quality_screen>mindsharp_screen>concentrate_screen>SymbolSearch_intro_screen>game_Symbol>game_Symbol___game>DotMem_intro_screen>game_DotMemory>game_DotMemory___game>MemBinding_intro_screen>game_MemBinding>game_MemBinding___game>game_distract_screen>thank_you_screen","11:30 PM",09:00:00,"40",60,60,57,2640,2640,NA,2664,2616,645.832909550778,645.832909550778,NA,591.361353150508,694.925535579173,1,0,0,18,0,9,9,18,0.0.0.9300,13001,4593.31006283414,NA,NA,13001,4593.31006283414,7.07106781186548,4.79353671875015,26.2132034355964,6,0,0,3,0,0.0.0.9300,2233,1233,3734,2666,2101,842.10161039047,631.97890260145,NA,636.396103067893,607.685499799581,3,1,2,4,5,5,0,10,0.6,0.2,0.4,0.8,0.4,0.6,0.2,0.4,0.8,0.2533471031358,-0.841621233572914,-0.2533471031358,0.841621233572914,1.09496833670871,1.37998243809048,0.294137065218557,0.0.0.9300,1
"2","305","2","Survey",2024-02-15,13:00:59,2024-02-15,13:05:38,"NORMAL","thank_you_screen","7/13/18 10:20 AM",1.1,9,"a2e6832dde271fe8","Xiaomi","Redmi Note 8","NORMAL_LAUNCH","NO_BEEP_FILE","NOT SET","NOT SET","before_intro>bedtime_screen>Getuptime_screen>sleep_quality_screen>mindsharp_screen>concentrate_screen>SymbolSearch_intro_screen>game_Symbol>game_Symbol___game>DotMem_intro_screen>game_DotMemory>game_DotMemory___game>MemBinding_intro_screen>game_MemBinding>game_MemBinding___game>game_distract_screen>thank_you_screen","11:30 PM",09:00:00,"40",60,60,51,3026,3026,NA,3099,3018,652.613118434606,652.613118434606,NA,593.228619036914,725.34137556816,1,0,0,18,0,9,9,18,0.0.0.9300,6578,2121.79200991363,NA,NA,6578,2121.79200991363,15,3.55283762852717,46.2132034355964,1,0,0,3,0,0.0.0.9300,2319,2499.5,NA,3735,1984,1063.46950538738,1405.36125248991,NA,NA,784.160697816462,4,0,1,5,5,5,0,10,0.8,0,0.2,1,0.8,0.8,0.01,0.2,0.99,0.841621233572914,-2.32634787404084,-0.841621233572914,2.32634787404084,3.16796910761376,10.5042933611349,0.742363320233963,0.0.0.9300,2
"3","305","3","Survey",2024-02-15,13:10:29,2024-02-15,13:14:46,"NORMAL","thank_you_screen","7/13/18 10:20 AM",1.1,9,"a2e6832dde271fe8","Xiaomi","Redmi Note 8","NORMAL_LAUNCH","NO_BEEP_FILE","NOT SET","NOT SET","before_intro>bedtime_screen>Getuptime_screen>sleep_quality_screen>mindsharp_screen>concentrate_screen>SymbolSearch_intro_screen>game_Symbol>game_Symbol___game>DotMem_intro_screen>game_DotMemory>game_DotMemory___game>MemBinding_intro_screen>game_MemBinding>game_MemBinding___game>game_distract_screen>thank_you_screen","11:30 PM",09:00:00,"40",60,50,69,2500.5,2500.5,NA,2284,2666,671.312130922854,671.312130922854,NA,595.340192196398,723.37745641155,1,0,0,18,0,9,9,18,0.0.0.9300,9389,284.183626082386,NA,NA,9389,284.183626082386,15,1.1957315586905,47.0710678118655,0,0,0,3,0,0.0.0.9300,2559.5,3350,NA,3201,1834,1070.73495527345,2216.07265223864,NA,337.426041279172,730.976196602872,2,0,3,5,5,5,0,10,0.4,0,0.6,1,0.4,0.4,0.01,0.6,0.99,-0.2533471031358,-2.32634787404084,0.2533471031358,2.32634787404084,2.07300077090504,14.4957403629166,1.28984748858832,0.0.0.9300,3
"4","306","1","Survey",2024-03-04,10:22:05,2024-03-04,10:28:51,"NORMAL","thank_you_screen","7/13/18 10:20 AM",1.1,9,"a2e6832dde271fe8","Xiaomi","Redmi Note 8","NORMAL_LAUNCH","NO_BEEP_FILE","NOT SET","NOT SET","before_intro>bedtime_screen>before_intro>bedtime_screen>Getuptime_screen>sleep_quality_screen>mindsharp_screen>concentrate_screen>SymbolSearch_intro_screen>game_Symbol>game_Symbol___game>DotMem_intro_screen>game_DotMemory>game_DotMemory___game>MemBinding_intro_screen>game_MemBinding>game_MemBinding___game>game_distract_screen>thank_you_screen","10:30 PM",07:10:00,"50",70,60,25,3150,3150,NA,3300,2945,882.668956590241,882.668956590241,NA,695.587541419323,1060.14312450935,1,0,0,18,0,9,9,18,0.0.0.9300,5006,765.902300122759,3944,NA,5218.5,300.520382004283,15,9.3158527800613,32.0710678118655,4,1,0,3,0.333333333333333,0.0.0.9300,2084.5,1638,1702,NA,2360.5,538.453350914553,713.978501076888,NA,NA,277.244176374064,5,1,0,4,5,5,0,10,1,0.2,0,0.8,0.8,0.99,0.2,0.01,0.8,2.32634787404084,-0.841621233572914,-2.32634787404084,0.841621233572914,3.16796910761376,0.0951991691035519,-0.742363320233963,0.0.0.9300,1
"5","306","2","Survey",2024-03-04,10:34:12,2024-03-04,10:38:56,"NORMAL","thank_you_screen","7/13/18 10:20 AM",1.1,9,"a2e6832dde271fe8","Xiaomi","Redmi Note 8","NORMAL_LAUNCH","NO_BEEP_FILE","NOT SET","NOT SET","before_intro>bedtime_screen>Getuptime_screen>sleep_quality_screen>mindsharp_screen>concentrate_screen>SymbolSearch_intro_screen>game_Symbol>game_Symbol___game>DotMem_intro_screen>game_DotMemory>game_DotMemory___game>MemBinding_intro_screen>game_MemBinding>game_MemBinding___game>game_distract_screen>thank_you_screen","10:30 PM",07:10:00,"50",60,50,51,3202.5,3202.5,NA,2452,3351,1010.12422066619,1010.12422066619,NA,921.604051519837,1080.06092935126,1,0,0,18,0,9,9,18,0.0.0.9300,4125,788.229239075368,NA,NA,4125,788.229239075368,15,5.14098958960708,49.142135623731,1,0,0,3,0,0.0.0.9300,1669,1500,NA,1668.5,1716,344.475769184939,665.582702098945,NA,47.3761543394987,191.895805060976,3,0,2,5,5,5,0,10,0.6,0,0.4,1,0.6,0.6,0.01,0.4,0.99,0.2533471031358,-2.32634787404084,-0.2533471031358,2.32634787404084,2.57969497717664,14.4957403629166,1.03650038545252,0.0.0.9300,2
"6","306","3","Survey",2024-03-04,10:51:18,2024-03-04,10:55:51,"NORMAL","thank_you_screen","7/13/18 10:20 AM",1.1,9,"a2e6832dde271fe8","Xiaomi","Redmi Note 8","NORMAL_LAUNCH","NO_BEEP_FILE","NOT SET","NOT SET","before_intro>bedtime_screen>Getuptime_screen>sleep_quality_screen>mindsharp_screen>concentrate_screen>SymbolSearch_intro_screen>game_Symbol>game_Symbol___game>DotMem_intro_screen>game_DotMemory>game_DotMemory___game>MemBinding_intro_screen>game_MemBinding>game_MemBinding___game>game_distract_screen>thank_you_screen","10:30 PM",07:10:00,"50",50,50,52,2500,2533,2467,2467,2619,757.747420711395,781.066983269003,NA,804.505748891827,730.026559638605,0.944444444444444,0.0555555555555556,0,17,1,9,9,18,0.0.0.9300,4549,1303.10564933674,NA,NA,4549,1303.10564933674,14.142135623731,6.29640063374883,36.2132034355964,3,0,0,3,0,0.0.0.9300,2993,3342,3370,3035,2221,710.790209711855,701.113400242785,308.298556597335,NA,295.655768307221,4,2,1,3,5,5,0,10,0.8,0.4,0.2,0.6,0.4,0.8,0.4,0.2,0.6,0.841621233572914,-0.2533471031358,-0.841621233572914,0.2533471031358,1.09496833670871,0.724646903031409,-0.294137065218557,0.0.0.9300,3
"7","308","1","Survey",2024-03-04,08:50:43,2024-03-04,08:56:36,"NORMAL","thank_you_screen","7/13/18 10:20 AM",1.1,9,"a2e6832dde271fe8","Xiaomi","Redmi Note 8","NORMAL_LAUNCH","NO_BEEP_FILE","NOT SET","NOT SET","before_intro>bedtime_screen>Getuptime_screen>sleep_quality_screen>mindsharp_screen>concentrate_screen>SymbolSearch_intro_screen>game_Symbol>game_Symbol___game>DotMem_intro_screen>game_DotMemory>game_DotMemory___game>MemBinding_intro_screen>game_MemBinding>game_MemBinding___game>game_distract_screen>thank_you_screen","7:05 PM",13:00:00,"20",30,30,35,2575.5,2575.5,NA,2440,2684,1601.32874564656,1601.32874564656,NA,2116.34215360161,977.940693498333,1,0,0,18,0,9,9,18,0.0.0.9300,4436,882.395791769959,3700.5,1093.89419049559,4436,NA,0,5.77350269189626,10,7,2,0,3,0.666666666666667,0.0.0.9300,1873.5,1718,NA,1844,2400,527.364105718241,384.074970980059,NA,NA,549.755854902883,4,0,1,5,5,5,0,10,0.8,0,0.2,1,0.8,0.8,0.01,0.2,0.99,0.841621233572914,-2.32634787404084,-0.841621233572914,2.32634787404084,3.16796910761376,10.5042933611349,0.742363320233963,0.0.0.9300,4
"8","308","2","Survey",2024-03-04,09:07:18,2024-03-04,09:11:28,"NORMAL","thank_you_screen","7/13/18 10:20 AM",1.1,9,"a2e6832dde271fe8","Xiaomi","Redmi Note 8","NORMAL_LAUNCH","NO_BEEP_FILE","NOT SET","NOT SET","before_intro>bedtime_screen>Getuptime_screen>sleep_quality_screen>mindsharp_screen>concentrate_screen>SymbolSearch_intro_screen>game_Symbol>game_Symbol___game>DotMem_intro_screen>game_DotMemory>game_DotMemory___game>MemBinding_intro_screen>game_MemBinding>game_MemBinding___game>game_distract_screen>thank_you_screen","7:05 AM",13:00:00,"20",30,30,37,2984,2984,NA,3285,2884,903.053673880183,903.053673880183,NA,1089.29167862015,727.618508866043,1,0,0,18,0,9,9,18,0.0.0.9300,3281,524.489593160182,2447,NA,3348,94.7523086789974,5,2.88675134594813,10,7,1,0,3,0.333333333333333,0.0.0.9300,1983.5,1653,NA,2933,1982,670.522714836053,316.626488679222,NA,1295.41962313376,198.953512157991,3,0,2,5,5,5,0,10,0.6,0,0.4,1,0.6,0.6,0.01,0.4,0.99,0.2533471031358,-2.32634787404084,-0.2533471031358,2.32634787404084,2.57969497717664,14.4957403629166,1.03650038545252,0.0.0.9300,5
"9","308","3","Survey",2024-03-04,09:17:16,2024-03-04,09:21:12,"NORMAL","thank_you_screen","7/13/18 10:20 AM",1.1,9,"a2e6832dde271fe8","Xiaomi","Redmi Note 8","NORMAL_LAUNCH","NO_BEEP_FILE","NOT SET","NOT SET","before_intro>bedtime_screen>Getuptime_screen>sleep_quality_screen>mindsharp_screen>concentrate_screen>SymbolSearch_intro_screen>game_Symbol>game_Symbol___game>DotMem_intro_screen>game_DotMemory>game_DotMemory___game>MemBinding_intro_screen>game_MemBinding>game_MemBinding___game>game_distract_screen>thank_you_screen","7:05 AM",13:00:00,"30",30,30,42,1975.5,2167.5,1833,2317,1933,783.144608054083,812.293204452678,94.7523086789974,917.528201201467,597.405176111192,0.888888888888889,0.111111111111111,0,16,2,9,9,18,0.0.0.9300,2493,1101.96022311757,2379.5,160.513239329346,4278,NA,0,4.08248290463863,7.07106781186548,8,2,0,3,0.666666666666667,0.0.0.9300,2095,2452,2101.5,NA,2051,637.594960247753,830.040842368615,306.177236253775,NA,261.582364339291,5,2,0,3,5,5,0,10,1,0.4,0,0.6,0.6,0.99,0.4,0.01,0.6,2.32634787404084,-0.2533471031358,-2.32634787404084,0.2533471031358,2.57969497717664,0.0689857830620523,-1.03650038545252,0.0.0.9300,6
"10","309","3","Survey",2024-04-10,15:22:58,2024-04-10,15:28:09,"NORMAL","thank_you_screen","7/13/18 10:20 AM",1.1,9,"a2e6832dde271fe8","Xiaomi","Redmi Note 8","NORMAL_LAUNCH","NO_BEEP_FILE","NOT SET","NOT SET","before_intro>bedtime_screen>Getuptime_screen>sleep_quality_screen>mindsharp_screen>concentrate_screen>SymbolSearch_intro_screen>game_Symbol>game_Symbol___game>DotMem_intro_screen>game_DotMemory>game_DotMemory___game>MemBinding_intro_screen>game_MemBinding>game_MemBinding___game>game_distract_screen>thank_you_screen","12:30 AM",08:20:00,"80",80,80,68,2649,2649,NA,2850,2441,932.696190089,932.696190089,NA,1028.05833708231,864.098374029254,1,0,0,18,0,9,9,18,0.0.0.9300,5301,1146.53666898767,NA,NA,5301,1146.53666898767,7.07106781186548,8.12861826518634,32.0710678118655,5,0,0,3,0,0.0.0.9300,3376.5,NA,NA,3851,3285,1134.59118922485,NA,NA,890.895336164692,1442.35865858669,0,0,5,5,5,5,0,10,0,0,1,1,0,0.01,0.01,0.99,0.99,-2.32634787404084,-2.32634787404084,2.32634787404084,2.32634787404084,0,1,2.32634787404084,0.0.0.9300,1
