user_id,flag_type,n_flags
317,low_accuracy,6
329,low_accuracy,6
332,low_accuracy,6
341,low_accuracy,6
313,low_accuracy,5
321,low_accuracy,5
340,low_accuracy,5
353,low_accuracy,5
359,low_accuracy,5
319,low_accuracy,4
327,low_accuracy,4
328,low_accuracy,4
337,low_accuracy,4
338,low_accuracy,4
342,low_accuracy,4
343,low_accuracy,4
360,low_accuracy,4
361,low_accuracy,4
305,low_accuracy,3
306,low_accuracy,3
309,low_accuracy,3
315,low_accuracy,3
318,unexpected_trial_count,3
320,unexpected_trial_count,3
322,low_accuracy,3
323,low_accuracy,3
324,low_accuracy,3
325,missing_task,3
325,unexpected_trial_count,3
326,low_accuracy,3
331,low_accuracy,3
333,low_accuracy,3
333,missing_task,3
334,low_accuracy,3
335,low_accuracy,3
346,low_accuracy,3
347,low_accuracy,3
349,low_accuracy,3
354,unexpected_trial_count,3
312,low_accuracy,2
314,low_accuracy,2
318,survey_issue,2
320,low_accuracy,2
320,survey_issue,2
325,low_accuracy,2
325,survey_issue,2
330,low_accuracy,2
339,low_accuracy,2
351,low_accuracy,2
354,low_accuracy,2
318,duplicate_visit,1
318,low_accuracy,1
320,duplicate_visit,1
324,duplicate_visit,1
324,survey_issue,1
324,unexpected_trial_count,1
325,duplicate_visit,1
333,survey_issue,1
336,low_accuracy,1
348,low_accuracy,1
352,low_accuracy,1
354,duplicate_visit,1
354,survey_issue,1
355,low_accuracy,1
356,low_accuracy,1
357,low_accuracy,1
