user_id,visit_id,session,visit_date,flag_type,flag_detail
312,312_1_2023-09-12,1,2023-09-12,low_accuracy,"Color Shapes corrected recognition (HIT - FA) is 0.00, at or below chance"
313,313_2_2023-11-14,2,2023-11-14,low_accuracy,"Color Shapes corrected recognition (HIT - FA) is 0.00, at or below chance"
313,313_3_2023-11-14,3,2023-11-14,low_accuracy,"Color Shapes corrected recognition (HIT - FA) is 0.00, at or below chance"
314,314_1_2023-09-14,1,2023-09-14,low_accuracy,"Color Shapes corrected recognition (HIT - FA) is 0.00, at or below chance"
317,317_2_2023-10-13,2,2023-10-13,low_accuracy,"Color Shapes corrected recognition (HIT - FA) is 0.00, at or below chance"
317,317_2_2023-10-13,2,2023-10-13,low_accuracy,Dot Memory has zero correctly placed dots across all trials
317,317_3_2023-10-13,3,2023-10-13,low_accuracy,Dot Memory has zero correctly placed dots across all trials
318,318_3_2024-01-10,3,2024-01-10,incomplete_session,Held out of cleaned data: exit_status is MINIMIZE/FORCE_CLOSE at thank_you_screen
318,318_3_2024-01-10,3,2024-01-10,superseded_attempt,Earlier attempt discarded (exit_status MINIMIZE/FORCE_CLOSE); kept the later complete file
318,318_3_2024-01-10,3,2024-01-10,survey_issue,Survey exit_status is TIMED_OUT
319,319_1_2024-01-05,1,2024-01-05,low_accuracy,"Color Shapes corrected recognition (HIT - FA) is 0.00, at or below chance"
320,320_3_2024-01-24,3,2024-01-24,incomplete_session,Held out of cleaned data: exit_status is MINIMIZE/FORCE_CLOSE at thank_you_screen
320,320_3_2024-01-24,3,2024-01-24,superseded_attempt,Earlier attempt discarded (exit_status MINIMIZE/FORCE_CLOSE); kept the later complete file
320,320_3_2024-01-24,3,2024-01-24,survey_issue,Survey exit_status is TIMED_OUT
321,321_2_2024-02-05,2,2024-02-05,low_accuracy,"Color Shapes corrected recognition (HIT - FA) is 0.00, at or below chance"
321,321_3_2024-02-05,3,2024-02-05,low_accuracy,"Color Shapes corrected recognition (HIT - FA) is -0.40, at or below chance"
324,324_1_2024-02-28,1,2024-02-28,incomplete_session,Held out of cleaned data: exit_status is MINIMIZE/FORCE_CLOSE at DotMem_intro_screen
