id,session,session_seq,visit_id,block,n_change,n_no_change,hit_rate,fa_rate,correc
305,1,1,305_1_2023-08-02,1,1,1,0,0,0
305,1,1,305_1_2023-08-02,2,1,1,0,0,0
305,1,1,305_1_2023-08-02,3,1,1,0,0,0
305,1,1,305_1_2023-08-02,4,1,1,1,0,1
305,1,1,305_1_2023-08-02,5,1,1,1,0,1
305,2,2,305_2_2023-08-02,1,1,1,1,0,1
305,2,2,305_2_2023-08-02,2,1,1,1,0,1
305,2,2,305_2_2023-08-02,3,1,1,0,0,0
305,2,2,305_2_2023-08-02,4,1,1,0,0,0
305,2,2,305_2_2023-08-02,5,1,1,1,0,1
305,3,3,305_3_2023-08-02,1,1,1,0,0,0
305,3,3,305_3_2023-08-02,2,1,1,1,0,1
305,3,3,305_3_2023-08-02,3,1,1,0,0,0
305,3,3,305_3_2023-08-02,4,1,1,0,0,0
305,3,3,305_3_2023-08-02,5,1,1,1,0,1
306,1,1,306_1_2023-08-08,1,1,1,0,0,0
306,1,1,306_1_2023-08-08,2,1,1,0,0,0
306,1,1,306_1_2023-08-08,3,1,1,1,0,1
306,1,1,306_1_2023-08-08,4,1,1,0,0,0
306,1,1,306_1_2023-08-08,5,1,1,0,0,0
306,2,2,306_2_2023-08-08,1,1,1,1,0,1
306,2,2,306_2_2023-08-08,2,1,1,0,0,0
306,2,2,306_2_2023-08-08,3,1,1,0,0,0
306,2,2,306_2_2023-08-08,4,1,1,0,0,0
306,2,2,306_2_2023-08-08,5,1,1,0,0,0
306,3,3,306_3_2023-08-08,1,1,1,1,0,1
306,3,3,306_3_2023-08-08,2,1,1,1,0,1
306,3,3,306_3_2023-08-08,3,1,1,1,0,1
306,3,3,306_3_2023-08-08,4,1,1,1,0,1
306,3,3,306_3_2023-08-08,5,1,1,1,0,1
308,1,1,308_1_2023-08-18,1,1,1,0,0,0
308,1,1,308_1_2023-08-18,2,1,1,1,0,1
308,1,1,308_1_2023-08-18,3,1,1,1,0,1
308,1,1,308_1_2023-08-18,4,1,1,1,0,1
308,1,1,308_1_2023-08-18,5,1,1,1,0,1
308,2,2,308_2_2023-08-18,1,1,1,1,0,1
308,2,2,308_2_2023-08-18,2,1,1,1,0,1
308,2,2,308_2_2023-08-18,3,1,1,1,0,1
308,2,2,308_2_2023-08-18,4,1,1,0,0,0
308,2,2,308_2_2023-08-18,5,1,1,1,1,0
308,3,3,308_3_2023-08-18,1,1,1,1,0,1
308,3,3,308_3_2023-08-18,2,1,1,1,1,0
308,3,3,308_3_2023-08-18,3,1,1,1,0,1
308,3,3,308_3_2023-08-18,4,1,1,1,0,1
308,3,3,308_3_2023-08-18,5,1,1,1,0,1
309,1,1,309_1_2023-09-12,1,1,1,1,0,1
309,1,1,309_1_2023-09-12,2,1,1,1,0,1
309,1,1,309_1_2023-09-12,3,1,1,1,0,1
309,1,1,309_1_2023-09-12,4,1,1,1,0,1
309,1,1,309_1_2023-09-12,5,1,1,1,0,1
309,2,2,309_2_2023-09-12,1,1,1,0,0,0
309,2,2,309_2_2023-09-12,2,1,1,1,0,1
309,2,2,309_2_2023-09-12,3,1,1,0,0,0
309,2,2,309_2_2023-09-12,4,1,1,0,0,0
309,2,2,309_2_2023-09-12,5,1,1,0,0,0
312,1,1,312_1_2023-09-12,1,1,1,0,0,0
312,1,1,312_1_2023-09-12,2,1,1,1,0,1
312,1,1,312_1_2023-09-12,3,1,1,0,0,0
312,1,1,312_1_2023-09-12,4,1,1,0,0,0
312,1,1,312_1_2023-09-12,5,1,1,0,1,-1
312,2,2,312_2_2023-09-12,1,1,1,1,0,1
312,2,2,312_2_2023-09-12,2,1,1,0,0,0
312,2,2,312_2_2023-09-12,3,1,1,1,0,1
312,2,2,312_2_2023-09-12,4,1,1,1,0,1
312,2,2,312_2_2023-09-12,5,1,1,0,0,0
312,3,3,312_3_2023-09-12,1,1,1,0,0,0
312,3,3,312_3_2023-09-12,2,1,1,1,0,1
312,3,3,312_3_2023-09-12,3,1,1,1,0,1
312,3,3,312_3_2023-09-12,4,1,1,1,0,1
312,3,3,312_3_2023-09-12,5,1,1,1,0,1
313,1,1,313_1_2023-11-14,1,1,1,0,0,0
313,1,1,313_1_2023-11-14,2,1,1,1,0,1
313,1,1,313_1_2023-11-14,3,1,1,0,0,0
313,1,1,313_1_2023-11-14,4,1,1,1,0,1
313,1,1,313_1_2023-11-14,5,1,1,1,0,1
313,2,2,313_2_2023-11-14,1,1,1,0,1,-1
313,2,2,313_2_2023-11-14,2,1,1,1,1,0
313,2,2,313_2_2023-11-14,3,1,1,0,0,0
313,2,2,313_2_2023-11-14,4,1,1,1,0,1
313,2,2,313_2_2023-11-14,5,1,1,0,0,0
313,3,3,313_3_2023-11-14,1,1,1,0,0,0
313,3,3,313_3_2023-11-14,2,1,1,1,1,0
313,3,3,313_3_2023-11-14,3,1,1,0,0,0
313,3,3,313_3_2023-11-14,4,1,1,1,1,0
313,3,3,313_3_2023-11-14,5,1,1,0,0,0
314,1,1,314_1_2023-09-14,1,1,1,1,1,0
314,1,1,314_1_2023-09-14,2,1,1,0,0,0
314,1,1,314_1_2023-09-14,3,1,1,0,0,0
314,1,1,314_1_2023-09-14,4,1,1,1,1,0
314,1,1,314_1_2023-09-14,5,1,1,0,0,0
314,2,2,314_2_2023-09-14,1,1,1,1,0,1
314,2,2,314_2_2023-09-14,2,1,1,1,0,1
314,2,2,314_2_2023-09-14,3,1,1,1,0,1
314,2,2,314_2_2023-09-14,4,1,1,0,0,0
314,2,2,314_2_2023-09-14,5,1,1,0,0,0
314,3,3,314_3_2023-09-14,1,1,1,1,0,1
314,3,3,314_3_2023-09-14,2,1,1,0,0,0
314,3,3,314_3_2023-09-14,3,1,1,1,1,0
314,3,3,314_3_2023-09-14,4,1,1,0,0,0
314,3,3,314_3_2023-09-14,5,1,1,0,0,0
315,1,1,315_1_2023-10-11,1,1,1,1,1,0
315,1,1,315_1_2023-10-11,2,1,1,0,0,0
315,1,1,315_1_2023-10-11,3,1,1,1,0,1
315,1,1,315_1_2023-10-11,4,1,1,1,0,1
315,1,1,315_1_2023-10-11,5,1,1,1,0,1
315,2,2,315_2_2023-10-11,1,1,1,0,0,0
315,2,2,315_2_2023-10-11,2,1,1,0,0,0
315,2,2,315_2_2023-10-11,3,1,1,1,0,1
315,2,2,315_2_2023-10-11,4,1,1,0,0,0
315,2,2,315_2_2023-10-11,5,1,1,1,1,0
315,3,3,315_3_2023-10-11,1,1,1,0,0,0
315,3,3,315_3_2023-10-11,2,1,1,1,1,0
315,3,3,315_3_2023-10-11,3,1,1,1,0,1
315,3,3,315_3_2023-10-11,4,1,1,1,0,1
315,3,3,315_3_2023-10-11,5,1,1,0,0,0
316,1,1,316_1_2023-10-06,1,1,1,0,0,0
316,1,1,316_1_2023-10-06,2,1,1,1,0,1
316,1,1,316_1_2023-10-06,3,1,1,1,1,0
316,1,1,316_1_2023-10-06,4,1,1,1,0,1
316,1,1,316_1_2023-10-06,5,1,1,1,0,1
316,2,2,316_2_2023-10-06,1,1,1,1,0,1
316,2,2,316_2_2023-10-06,2,1,1,1,0,1
316,2,2,316_2_2023-10-06,3,1,1,1,0,1
316,2,2,316_2_2023-10-06,4,1,1,0,0,0
316,2,2,316_2_2023-10-06,5,1,1,1,0,1
316,3,3,316_3_2023-10-06,1,1,1,1,0,1
316,3,3,316_3_2023-10-06,2,1,1,1,0,1
316,3,3,316_3_2023-10-06,3,1,1,1,0,1
316,3,3,316_3_2023-10-06,4,1,1,0,0,0
316,3,3,316_3_2023-10-06,5,1,1,1,0,1
317,1,1,317_1_2023-10-13,1,1,1,1,0,1
317,1,1,317_1_2023-10-13,2,1,1,0,0,0
317,1,1,317_1_2023-10-13,3,1,1,0,0,0
317,1,1,317_1_2023-10-13,4,1,1,1,1,0
317,1,1,317_1_2023-10-13,5,1,1,0,0,0
317,2,2,317_2_2023-10-13,1,1,1,0,0,0
317,2,2,317_2_2023-10-13,2,1,1,0,0,0
317,2,2,317_2_2023-10-13,3,1,1,1,0,1
317,2,2,317_2_2023-10-13,4,1,1,0,0,0
317,2,2,317_2_2023-10-13,5,1,1,0,1,-1
317,3,3,317_3_2023-10-13,1,1,1,1,1,0
317,3,3,317_3_2023-10-13,2,1,1,0,0,0
317,3,3,317_3_2023-10-13,3,1,1,1,0,1
317,3,3,317_3_2023-10-13,4,1,1,0,0,0
317,3,3,317_3_2023-10-13,5,1,1,0,0,0
318,1,1,318_1_2024-01-10,1,1,1,1,1,0
318,1,1,318_1_2024-01-10,2,1,1,0,1,-1
318,1,1,318_1_2024-01-10,3,1,1,0,0,0
318,1,1,318_1_2024-01-10,4,1,1,1,0,1
318,1,1,318_1_2024-01-10,5,1,1,1,0,1
318,2,2,318_2_2024-01-10,1,1,1,1,0,1
318,2,2,318_2_2024-01-10,2,1,1,1,0,1
318,2,2,318_2_2024-01-10,3,1,1,1,0,1
318,2,2,318_2_2024-01-10,4,1,1,1,0,1
318,2,2,318_2_2024-01-10,5,1,1,1,0,1
318,3,3,318_3_2024-01-10,1,1,1,1,0,1
318,3,3,318_3_2024-01-10,2,1,1,1,0,1
318,3,3,318_3_2024-01-10,3,1,1,1,0,1
318,3,3,318_3_2024-01-10,4,1,1,0,0,0
318,3,3,318_3_2024-01-10,5,1,1,1,0,1
319,1,1,319_1_2024-01-05,1,1,1,1,1,0
319,1,1,319_1_2024-01-05,2,1,1,0,0,0
319,1,1,319_1_2024-01-05,3,1,1,1,0,1
319,1,1,319_1_2024-01-05,4,1,1,1,1,0
319,1,1,319_1_2024-01-05,5,1,1,0,1,-1
319,2,2,319_2_2024-01-05,1,1,1,0,0,0
319,2,2,319_2_2024-01-05,2,1,1,1,0,1
319,2,2,319_2_2024-01-05,3,1,1,1,0,1
319,2,2,319_2_2024-01-05,4,1,1,0,0,0
319,2,2,319_2_2024-01-05,5,1,1,0,0,0
319,3,3,319_3_2024-01-05,1,1,1,0,0,0
319,3,3,319_3_2024-01-05,2,1,1,1,0,1
319,3,3,319_3_2024-01-05,3,1,1,0,0,0
319,3,3,319_3_2024-01-05,4,1,1,0,0,0
319,3,3,319_3_2024-01-05,5,1,1,1,0,1
320,1,1,320_1_2024-01-24,1,1,1,0,0,0
320,1,1,320_1_2024-01-24,2,1,1,1,0,1
320,1,1,320_1_2024-01-24,3,1,1,0,0,0
320,1,1,320_1_2024-01-24,4,1,1,1,0,1
320,1,1,320_1_2024-01-24,5,1,1,1,0,1
320,2,2,320_2_2024-01-24,1,1,1,1,1,0
320,2,2,320_2_2024-01-24,2,1,1,1,0,1
320,2,2,320_2_2024-01-24,3,1,1,0,0,0
320,2,2,320_2_2024-01-24,4,1,1,1,0,1
320,2,2,320_2_2024-01-24,5,1,1,0,0,0
320,3,3,320_3_2024-01-24,1,1,1,0,0,0
320,3,3,320_3_2024-01-24,2,1,1,0,0,0
320,3,3,320_3_2024-01-24,3,1,1,0,0,0
320,3,3,320_3_2024-01-24,4,1,1,1,0,1
320,3,3,320_3_2024-01-24,5,1,1,0,0,0
321,1,1,321_1_2024-02-05,1,1,1,0,0,0
321,1,1,321_1_2024-02-05,2,1,1,1,1,0
321,1,1,321_1_2024-02-05,3,1,1,1,0,1
321,1,1,321_1_2024-02-05,4,1,1,0,0,0
321,1,1,321_1_2024-02-05,5,1,1,1,0,1
321,2,2,321_2_2024-02-05,1,1,1,0,0,0
321,2,2,321_2_2024-02-05,2,1,1,1,1,0
321,2,2,321_2_2024-02-05,3,1,1,0,0,0
321,2,2,321_2_2024-02-05,4,1,1,0,0,0
321,2,2,321_2_2024-02-05,5,1,1,0,0,0
321,3,3,321_3_2024-02-05,1,1,1,1,1,0
321,3,3,321_3_2024-02-05,2,1,1,1,1,0
321,3,3,321_3_2024-02-05,3,1,1,0,1,-1
321,3,3,321_3_2024-02-05,4,1,1,1,1,0
321,3,3,321_3_2024-02-05,5,1,1,0,1,-1
322,1,1,322_1_2024-02-13,1,1,1,1,0,1
322,1,1,322_1_2024-02-13,2,1,1,1,0,1
322,1,1,322_1_2024-02-13,3,1,1,1,0,1
322,1,1,322_1_2024-02-13,4,1,1,1,1,0
322,1,1,322_1_2024-02-13,5,1,1,0,0,0
322,2,2,322_2_2024-02-13,1,1,1,1,0,1
322,2,2,322_2_2024-02-13,2,1,1,1,0,1
322,2,2,322_2_2024-02-13,3,1,1,1,0,1
322,2,2,322_2_2024-02-13,4,1,1,1,0,1
322,2,2,322_2_2024-02-13,5,1,1,1,0,1
322,3,3,322_3_2024-02-13,1,1,1,1,0,1
322,3,3,322_3_2024-02-13,2,1,1,1,0,1
322,3,3,322_3_2024-02-13,3,1,1,1,0,1
322,3,3,322_3_2024-02-13,4,1,1,0,0,0
322,3,3,322_3_2024-02-13,5,1,1,1,0,1
323,1,1,323_1_2024-02-19,1,1,1,0,0,0
323,1,1,323_1_2024-02-19,2,1,1,1,0,1
323,1,1,323_1_2024-02-19,3,1,1,1,0,1
323,1,1,323_1_2024-02-19,4,1,1,1,0,1
323,1,1,323_1_2024-02-19,5,1,1,0,0,0
323,2,2,323_2_2024-02-19,1,1,1,0,0,0
323,2,2,323_2_2024-02-19,2,1,1,0,0,0
323,2,2,323_2_2024-02-19,3,1,1,1,0,1
323,2,2,323_2_2024-02-19,4,1,1,0,0,0
323,2,2,323_2_2024-02-19,5,1,1,0,0,0
323,3,3,323_3_2024-02-19,1,1,1,0,0,0
323,3,3,323_3_2024-02-19,2,1,1,0,0,0
323,3,3,323_3_2024-02-19,3,1,1,1,0,1
323,3,3,323_3_2024-02-19,4,1,1,1,0,1
323,3,3,323_3_2024-02-19,5,1,1,0,0,0
324,1,1,324_1_2024-02-28,1,1,1,1,0,1
324,1,1,324_1_2024-02-28,2,1,1,1,0,1
324,1,1,324_1_2024-02-28,3,1,1,0,0,0
324,1,1,324_1_2024-02-28,4,1,1,1,0,1
324,1,1,324_1_2024-02-28,5,1,1,1,0,1
324,2,2,324_2_2024-02-28,1,1,1,0,0,0
324,2,2,324_2_2024-02-28,2,1,1,0,0,0
324,2,2,324_2_2024-02-28,3,1,1,0,0,0
324,2,2,324_2_2024-02-28,4,1,1,0,0,0
324,2,2,324_2_2024-02-28,5,1,1,1,0,1
324,3,3,324_3_2024-02-28,1,1,1,1,0,1
324,3,3,324_3_2024-02-28,2,1,1,1,0,1
324,3,3,324_3_2024-02-28,3,1,1,1,0,1
324,3,3,324_3_2024-02-28,4,1,1,0,0,0
324,3,3,324_3_2024-02-28,5,1,1,0,0,0
325,1,1,325_1_2024-02-22,1,1,1,1,0,1
325,1,1,325_1_2024-02-22,2,1,1,1,0,1
325,1,1,325_1_2024-02-22,3,1,1,1,0,1
325,1,1,325_1_2024-02-22,4,1,1,1,0,1
325,1,1,325_1_2024-02-22,5,1,1,1,0,1
325,2,2,325_2_2024-02-22,1,1,1,0,0,0
325,2,2,325_2_2024-02-22,2,1,1,0,0,0
325,2,2,325_2_2024-02-22,3,1,1,0,0,0
325,2,2,325_2_2024-02-22,4,1,1,0,0,0
325,2,2,325_2_2024-02-22,5,1,1,1,0,1
325,3,3,325_3_2024-02-22,1,1,1,1,0,1
325,3,3,325_3_2024-02-22,2,1,1,1,0,1
325,3,3,325_3_2024-02-22,3,1,1,1,0,1
325,3,3,325_3_2024-02-22,4,1,1,0,0,0
325,3,3,325_3_2024-02-22,5,1,1,1,1,0
326,1,1,326_1_2024-03-11,1,1,1,0,0,0
326,1,1,326_1_2024-03-11,2,1,1,1,0,1
326,1,1,326_1_2024-03-11,3,1,1,1,1,0
326,1,1,326_1_2024-03-11,4,1,1,1,1,0
326,1,1,326_1_2024-03-11,5,1,1,1,0,1
326,2,2,326_2_2024-03-11,1,1,1,1,0,1
326,2,2,326_2_2024-03-11,2,1,1,0,1,-1
326,2,2,326_2_2024-03-11,3,1,1,0,0,0
326,2,2,326_2_2024-03-11,4,1,1,1,0,1
326,2,2,326_2_2024-03-11,5,1,1,1,1,0
326,3,3,326_3_2024-03-11,1,1,1,1,0,1
326,3,3,326_3_2024-03-11,2,1,1,1,0,1
326,3,3,326_3_2024-03-11,3,1,1,0,0,0
326,3,3,326_3_2024-03-11,4,1,1,1,0,1
326,3,3,326_3_2024-03-11,5,1,1,1,0,1
327,1,1,327_1_2024-03-14,1,1,1,0,0,0
327,1,1,327_1_2024-03-14,2,1,1,1,0,1
327,1,1,327_1_2024-03-14,3,1,1,0,0,0
327,1,1,327_1_2024-03-14,4,1,1,0,0,0
327,1,1,327_1_2024-03-14,5,1,1,0,0,0
327,2,2,327_2_2024-03-14,1,1,1,1,0,1
327,2,2,327_2_2024-03-14,2,1,1,0,0,0
327,2,2,327_2_2024-03-14,3,1,1,0,0,0
327,2,2,327_2_2024-03-14,4,1,1,1,0,1
327,2,2,327_2_2024-03-14,5,1,1,0,0,0
327,3,3,327_3_2024-03-14,1,1,1,1,0,1
327,3,3,327_3_2024-03-14,2,1,1,1,0,1
327,3,3,327_3_2024-03-14,3,1,1,1,0,1
327,3,3,327_3_2024-03-14,4,1,1,1,0,1
327,3,3,327_3_2024-03-14,5,1,1,0,0,0
328,1,1,328_1_2024-03-26,1,1,1,1,0,1
328,1,1,328_1_2024-03-26,2,1,1,0,0,0
328,1,1,328_1_2024-03-26,3,1,1,1,0,1
328,1,1,328_1_2024-03-26,4,1,1,1,0,1
328,1,1,328_1_2024-03-26,5,1,1,0,1,-1
328,2,2,328_2_2024-03-26,1,1,1,1,0,1
328,2,2,328_2_2024-03-26,2,1,1,0,0,0
328,2,2,328_2_2024-03-26,3,1,1,1,0,1
328,2,2,328_2_2024-03-26,4,1,1,1,0,1
328,2,2,328_2_2024-03-26,5,1,1,0,1,-1
328,3,3,328_3_2024-03-26,1,1,1,1,0,1
328,3,3,328_3_2024-03-26,2,1,1,0,0,0
328,3,3,328_3_2024-03-26,3,1,1,0,1,-1
328,3,3,328_3_2024-03-26,4,1,1,1,0,1
328,3,3,328_3_2024-03-26,5,1,1,0,0,0
329,1,1,329_1_2024-04-02,1,1,1,1,1,0
329,1,1,329_1_2024-04-02,2,1,1,1,0,1
329,1,1,329_1_2024-04-02,3,1,1,0,1,-1
329,1,1,329_1_2024-04-02,4,1,1,0,0,0
329,1,1,329_1_2024-04-02,5,1,1,0,0,0
329,2,2,329_2_2024-04-02,1,1,1,1,0,1
329,2,2,329_2_2024-04-02,2,1,1,0,0,0
329,2,2,329_2_2024-04-02,3,1,1,0,0,0
329,2,2,329_2_2024-04-02,4,1,1,0,1,-1
329,2,2,329_2_2024-04-02,5,1,1,0,0,0
329,3,3,329_3_2024-04-02,1,1,1,0,0,0
329,3,3,329_3_2024-04-02,2,1,1,0,1,-1
329,3,3,329_3_2024-04-02,3,1,1,1,1,0
329,3,3,329_3_2024-04-02,4,1,1,0,0,0
329,3,3,329_3_2024-04-02,5,1,1,1,1,0
330,1,1,330_1_2024-04-11,1,1,1,1,0,1
330,1,1,330_1_2024-04-11,2,1,1,1,0,1
330,1,1,330_1_2024-04-11,3,1,1,1,1,0
330,1,1,330_1_2024-04-11,4,1,1,0,1,-1
330,1,1,330_1_2024-04-11,5,1,1,0,0,0
330,2,2,330_2_2024-04-11,1,1,1,0,0,0
330,2,2,330_2_2024-04-11,2,1,1,0,0,0
330,2,2,330_2_2024-04-11,3,1,1,1,0,1
330,2,2,330_2_2024-04-11,4,1,1,0,0,0
330,2,2,330_2_2024-04-11,5,1,1,1,0,1
330,3,3,330_3_2024-04-11,1,1,1,0,0,0
330,3,3,330_3_2024-04-11,2,1,1,1,0,1
