id,session,session_seq,visit_id,half,n_change,n_no_change,hit_rate,fa_rate,correc
305,1,1,305_1_2023-08-02,even,3,2,0.3333333333333333,0,0.3333333333333333
305,1,1,305_1_2023-08-02,odd,2,3,0.5,0,0.5
305,2,2,305_2_2023-08-02,even,3,2,0.6666666666666666,0,0.6666666666666666
305,2,2,305_2_2023-08-02,odd,2,3,0.5,0,0.5
305,3,3,305_3_2023-08-02,even,3,2,0.3333333333333333,0,0.3333333333333333
305,3,3,305_3_2023-08-02,odd,2,3,0.5,0,0.5
306,1,1,306_1_2023-08-08,even,3,2,0.3333333333333333,0,0.3333333333333333
306,1,1,306_1_2023-08-08,odd,2,3,0,0,0
306,2,2,306_2_2023-08-08,even,3,2,0,0,0
306,2,2,306_2_2023-08-08,odd,2,3,0.5,0,0.5
306,3,3,306_3_2023-08-08,even,3,2,1,0,1
306,3,3,306_3_2023-08-08,odd,2,3,1,0,1
308,1,1,308_1_2023-08-18,even,2,3,1,0,1
308,1,1,308_1_2023-08-18,odd,3,2,0.6666666666666666,0,0.6666666666666666
308,2,2,308_2_2023-08-18,even,2,3,0.5,0.3333333333333333,0.16666666666666669
308,2,2,308_2_2023-08-18,odd,3,2,1,0,1
308,3,3,308_3_2023-08-18,even,3,2,1,0,1
308,3,3,308_3_2023-08-18,odd,2,3,1,0.3333333333333333,0.6666666666666667
309,1,1,309_1_2023-09-12,even,2,3,1,0,1
309,1,1,309_1_2023-09-12,odd,3,2,1,0,1
309,2,2,309_2_2023-09-12,even,2,3,0,0,0
309,2,2,309_2_2023-09-12,odd,3,2,0.3333333333333333,0,0.3333333333333333
312,1,1,312_1_2023-09-12,even,4,1,0.25,0,0.25
312,1,1,312_1_2023-09-12,odd,1,4,0,0.25,-0.25
312,2,2,312_2_2023-09-12,even,2,3,1,0,1
312,2,2,312_2_2023-09-12,odd,3,2,0.3333333333333333,0,0.3333333333333333
312,3,3,312_3_2023-09-12,even,3,2,0.6666666666666666,0,0.6666666666666666
312,3,3,312_3_2023-09-12,odd,2,3,1,0,1
313,1,1,313_1_2023-11-14,even,3,2,0.6666666666666666,0,0.6666666666666666
313,1,1,313_1_2023-11-14,odd,2,3,0.5,0,0.5
313,2,2,313_2_2023-11-14,even,2,3,0.5,0.3333333333333333,0.16666666666666669
313,2,2,313_2_2023-11-14,odd,3,2,0.3333333333333333,0.5,-0.16666666666666669
313,3,3,313_3_2023-11-14,even,3,2,0.3333333333333333,0.5,-0.16666666666666669
313,3,3,313_3_2023-11-14,odd,2,3,0.5,0.3333333333333333,0.16666666666666669
314,1,1,314_1_2023-09-14,even,3,2,0.6666666666666666,0,0.6666666666666666
314,1,1,314_1_2023-09-14,odd,2,3,0,0.6666666666666666,-0.6666666666666666
314,2,2,314_2_2023-09-14,even,1,4,1,0,1
314,2,2,314_2_2023-09-14,odd,4,1,0.5,0,0.5
314,3,3,314_3_2023-09-14,even,3,2,0.3333333333333333,0,0.3333333333333333
314,3,3,314_3_2023-09-14,odd,2,3,0.5,0.3333333333333333,0.16666666666666669
315,1,1,315_1_2023-10-11,even,2,3,0.5,0.3333333333333333,0.16666666666666669
315,1,1,315_1_2023-10-11,odd,3,2,1,0,1
315,2,2,315_2_2023-10-11,even,2,3,1,0.3333333333333333,0.6666666666666667
315,2,2,315_2_2023-10-11,odd,3,2,0,0,0
315,3,3,315_3_2023-10-11,even,2,3,0.5,0,0.5
315,3,3,315_3_2023-10-11,odd,3,2,0.6666666666666666,0.5,0.16666666666666663
316,1,1,316_1_2023-10-06,even,1,4,1,0,1
316,1,1,316_1_2023-10-06,odd,4,1,0.75,1,-0.25
316,2,2,316_2_2023-10-06,even,3,2,0.6666666666666666,0,0.6666666666666666
316,2,2,316_2_2023-10-06,odd,2,3,1,0,1
316,3,3,316_3_2023-10-06,even,3,2,0.6666666666666666,0,0.6666666666666666
316,3,3,316_3_2023-10-06,odd,2,3,1,0,1
317,1,1,317_1_2023-10-13,even,1,4,0,0.25,-0.25
317,1,1,317_1_2023-10-13,odd,4,1,0.5,0,0.5
317,2,2,317_2_2023-10-13,even,1,4,0,0.25,-0.25
