id,session,session_seq,visit_id,trial,dot,distance
305,1,1,305_1_2023-08-02,1,1,5
305,1,1,305_1_2023-08-02,1,2,5
305,1,1,305_1_2023-08-02,1,3,0
305,1,1,305_1_2023-08-02,2,1,0
305,1,1,305_1_2023-08-02,2,2,5
305,1,1,305_1_2023-08-02,2,3,10
305,1,1,305_1_2023-08-02,3,1,0
305,1,1,305_1_2023-08-02,3,2,0
305,1,1,305_1_2023-08-02,3,3,0
305,2,2,305_2_2023-08-02,1,1,0
305,2,2,305_2_2023-08-02,1,2,0
305,2,2,305_2_2023-08-02,1,3,5
305,2,2,305_2_2023-08-02,2,1,5
305,2,2,305_2_2023-08-02,2,2,5
305,2,2,305_2_2023-08-02,2,3,5
305,2,2,305_2_2023-08-02,3,1,5
305,2,2,305_2_2023-08-02,3,2,0
305,2,2,305_2_2023-08-02,3,3,5
305,3,3,305_3_2023-08-02,1,1,5
305,3,3,305_3_2023-08-02,1,2,0
305,3,3,305_3_2023-08-02,1,3,5
305,3,3,305_3_2023-08-02,2,1,0
305,3,3,305_3_2023-08-02,2,2,0
305,3,3,305_3_2023-08-02,2,3,0
305,3,3,305_3_2023-08-02,3,1,5
305,3,3,305_3_2023-08-02,3,2,0
305,3,3,305_3_2023-08-02,3,3,5
306,1,1,306_1_2023-08-08,1,1,0
306,1,1,306_1_2023-08-08,1,2,0
306,1,1,306_1_2023-08-08,1,3,0
306,1,1,306_1_2023-08-08,2,1,5
306,1,1,306_1_2023-08-08,2,2,5
306,1,1,306_1_2023-08-08,2,3,5
306,1,1,306_1_2023-08-08,3,1,0
306,1,1,306_1_2023-08-08,3,2,5
306,1,1,306_1_2023-08-08,3,3,0
306,2,2,306_2_2023-08-08,1,1,0
306,2,2,306_2_2023-08-08,1,2,0
306,2,2,306_2_2023-08-08,1,3,7.0710678118654755
306,2,2,306_2_2023-08-08,2,1,7.0710678118654755
306,2,2,306_2_2023-08-08,2,2,0
306,2,2,306_2_2023-08-08,2,3,5
306,2,2,306_2_2023-08-08,3,1,5
306,2,2,306_2_2023-08-08,3,2,5
306,2,2,306_2_2023-08-08,3,3,0
306,3,3,306_3_2023-08-08,1,1,5
306,3,3,306_3_2023-08-08,1,2,5
306,3,3,306_3_2023-08-08,1,3,0
306,3,3,306_3_2023-08-08,2,1,0
306,3,3,306_3_2023-08-08,2,2,5
306,3,3,306_3_2023-08-08,2,3,10
306,3,3,306_3_2023-08-08,3,1,0
306,3,3,306_3_2023-08-08,3,2,0
306,3,3,306_3_2023-08-08,3,3,0
308,1,1,308_1_2023-08-18,1,1,0
308,1,1,308_1_2023-08-18,1,2,0
308,1,1,308_1_2023-08-18,1,3,0
308,1,1,308_1_2023-08-18,2,1,0
308,1,1,308_1_2023-08-18,2,2,0
308,1,1,308_1_2023-08-18,2,3,0
308,1,1,308_1_2023-08-18,3,1,0
308,1,1,308_1_2023-08-18,3,2,0
308,1,1,308_1_2023-08-18,3,3,0
308,2,2,308_2_2023-08-18,1,1,5
308,2,2,308_2_2023-08-18,1,2,0
308,2,2,308_2_2023-08-18,1,3,5
308,2,2,308_2_2023-08-18,2,1,5
308,2,2,308_2_2023-08-18,2,2,5
308,2,2,308_2_2023-08-18,2,3,0
308,2,2,308_2_2023-08-18,3,1,0
308,2,2,308_2_2023-08-18,3,2,0
308,2,2,308_2_2023-08-18,3,3,0
308,3,3,308_3_2023-08-18,1,1,0
308,3,3,308_3_2023-08-18,1,2,0
308,3,3,308_3_2023-08-18,1,3,0
308,3,3,308_3_2023-08-18,2,1,0
308,3,3,308_3_2023-08-18,2,2,5
308,3,3,308_3_2023-08-18,2,3,5
308,3,3,308_3_2023-08-18,3,1,0
308,3,3,308_3_2023-08-18,3,2,0
308,3,3,308_3_2023-08-18,3,3,0
309,1,1,309_1_2023-09-12,1,1,7.0710678118654755
309,1,1,309_1_2023-09-12,1,2,0
309,1,1,309_1_2023-09-12,1,3,0
309,1,1,309_1_2023-09-12,2,1,11.180339887498949
309,1,1,309_1_2023-09-12,2,2,5
309,1,1,309_1_2023-09-12,2,3,0
309,1,1,309_1_2023-09-12,3,1,5
309,1,1,309_1_2023-09-12,3,2,0
309,1,1,309_1_2023-09-12,3,3,0
309,2,2,309_2_2023-09-12,1,1,5
309,2,2,309_2_2023-09-12,1,2,5
309,2,2,309_2_2023-09-12,1,3,0
309,2,2,309_2_2023-09-12,2,1,0
309,2,2,309_2_2023-09-12,2,2,5
309,2,2,309_2_2023-09-12,2,3,5
309,2,2,309_2_2023-09-12,3,1,0
309,2,2,309_2_2023-09-12,3,2,7.0710678118654755
309,2,2,309_2_2023-09-12,3,3,0
312,1,1,312_1_2023-09-12,1,1,0
312,1,1,312_1_2023-09-12,1,2,5
312,1,1,312_1_2023-09-12,1,3,0
312,1,1,312_1_2023-09-12,2,1,0
312,1,1,312_1_2023-09-12,2,2,5
312,1,1,312_1_2023-09-12,2,3,0
312,1,1,312_1_2023-09-12,3,1,5
312,1,1,312_1_2023-09-12,3,2,5
312,1,1,312_1_2023-09-12,3,3,7.0710678118654755
312,2,2,312_2_2023-09-12,1,1,7.0710678118654755
312,2,2,312_2_2023-09-12,1,2,0
312,2,2,312_2_2023-09-12,1,3,0
312,2,2,312_2_2023-09-12,2,1,0
312,2,2,312_2_2023-09-12,2,2,0
312,2,2,312_2_2023-09-12,2,3,0
312,2,2,312_2_2023-09-12,3,1,5
312,2,2,312_2_2023-09-12,3,2,5
312,2,2,312_2_2023-09-12,3,3,5
312,3,3,312_3_2023-09-12,1,1,0
312,3,3,312_3_2023-09-12,1,2,0
312,3,3,312_3_2023-09-12,1,3,0
312,3,3,312_3_2023-09-12,2,1,5
312,3,3,312_3_2023-09-12,2,2,0
312,3,3,312_3_2023-09-12,2,3,0
312,3,3,312_3_2023-09-12,3,1,0
312,3,3,312_3_2023-09-12,3,2,0
312,3,3,312_3_2023-09-12,3,3,0
313,1,1,313_1_2023-11-14,1,1,0
313,1,1,313_1_2023-11-14,1,2,11.180339887498949
313,1,1,313_1_2023-11-14,1,3,0
313,1,1,313_1_2023-11-14,2,1,7.0710678118654755
313,1,1,313_1_2023-11-14,2,2,5
313,1,1,313_1_2023-11-14,2,3,10
313,1,1,313_1_2023-11-14,3,1,5
313,1,1,313_1_2023-11-14,3,2,5
313,1,1,313_1_2023-11-14,3,3,11.180339887498949
313,2,2,313_2_2023-11-14,1,1,7.0710678118654755
313,2,2,313_2_2023-11-14,1,2,0
313,2,2,313_2_2023-11-14,1,3,0
313,2,2,313_2_2023-11-14,2,1,7.0710678118654755
313,2,2,313_2_2023-11-14,2,2,5
313,2,2,313_2_2023-11-14,2,3,10
313,2,2,313_2_2023-11-14,3,1,10
313,2,2,313_2_2023-11-14,3,2,7.0710678118654755
313,2,2,313_2_2023-11-14,3,3,11.180339887498949
313,3,3,313_3_2023-11-14,1,1,15.811388300841896
313,3,3,313_3_2023-11-14,1,2,5
313,3,3,313_3_2023-11-14,1,3,0
313,3,3,313_3_2023-11-14,2,1,15
313,3,3,313_3_2023-11-14,2,2,11.180339887498949
313,3,3,313_3_2023-11-14,2,3,5
313,3,3,313_3_2023-11-14,3,1,0
313,3,3,313_3_2023-11-14,3,2,7.0710678118654755
313,3,3,313_3_2023-11-14,3,3,5
314,1,1,314_1_2023-09-14,1,1,7.0710678118654755
314,1,1,314_1_2023-09-14,1,2,11.180339887498949
314,1,1,314_1_2023-09-14,1,3,5
314,1,1,314_1_2023-09-14,2,1,0
314,1,1,314_1_2023-09-14,2,2,0
314,1,1,314_1_2023-09-14,2,3,0
314,1,1,314_1_2023-09-14,3,1,5
314,1,1,314_1_2023-09-14,3,2,5
314,1,1,314_1_2023-09-14,3,3,10
314,2,2,314_2_2023-09-14,1,1,0
314,2,2,314_2_2023-09-14,1,2,0
314,2,2,314_2_2023-09-14,1,3,0
314,2,2,314_2_2023-09-14,2,1,0
314,2,2,314_2_2023-09-14,2,2,10
314,2,2,314_2_2023-09-14,2,3,10
314,2,2,314_2_2023-09-14,3,1,0
314,2,2,314_2_2023-09-14,3,2,0
314,2,2,314_2_2023-09-14,3,3,0
314,3,3,314_3_2023-09-14,1,1,5
314,3,3,314_3_2023-09-14,1,2,5
314,3,3,314_3_2023-09-14,1,3,0
314,3,3,314_3_2023-09-14,2,1,5
314,3,3,314_3_2023-09-14,2,2,10
314,3,3,314_3_2023-09-14,2,3,5
314,3,3,314_3_2023-09-14,3,1,0
314,3,3,314_3_2023-09-14,3,2,0
314,3,3,314_3_2023-09-14,3,3,0
315,1,1,315_1_2023-10-11,1,1,0
315,1,1,315_1_2023-10-11,1,2,0
315,1,1,315_1_2023-10-11,1,3,0
315,1,1,315_1_2023-10-11,2,1,10
315,1,1,315_1_2023-10-11,2,2,0
315,1,1,315_1_2023-10-11,2,3,0
315,1,1,315_1_2023-10-11,3,1,5
315,1,1,315_1_2023-10-11,3,2,7.0710678118654755
315,1,1,315_1_2023-10-11,3,3,7.0710678118654755
315,2,2,315_2_2023-10-11,1,1,5
315,2,2,315_2_2023-10-11,1,2,7.0710678118654755
315,2,2,315_2_2023-10-11,1,3,0
315,2,2,315_2_2023-10-11,2,1,5
