id,session,session_seq,visit_id,trial,response_time,error_distance,sum_error_distance,median_error_distance,perfect_dots
305,1,1,305_1_2023-08-02,1,2854,3.3333333333333335,10,5,1
305,1,1,305_1_2023-08-02,2,9246,5,15,5,1
305,1,1,305_1_2023-08-02,3,5844,0,0,0,3
305,2,2,305_2_2023-08-02,1,3489,1.6666666666666667,5,0,2
305,2,2,305_2_2023-08-02,2,20007,5,15,5,0
305,2,2,305_2_2023-08-02,3,15184,3.3333333333333335,10,5,1
305,3,3,305_3_2023-08-02,1,5245,3.3333333333333335,10,5,1
305,3,3,305_3_2023-08-02,2,4633,0,0,0,3
305,3,3,305_3_2023-08-02,3,8193,3.3333333333333335,10,5,1
306,1,1,306_1_2023-08-08,1,4081,0,0,0,3
306,1,1,306_1_2023-08-08,2,2999,5,15,5,0
306,1,1,306_1_2023-08-08,3,5142,1.6666666666666667,5,0,2
306,2,2,306_2_2023-08-08,1,6823,2.3570226039551585,7.0710678118654755,0,2
306,2,2,306_2_2023-08-08,2,10739,4.0236892706218255,12.071067811865476,5,1
306,2,2,306_2_2023-08-08,3,7553,3.3333333333333335,10,5,1
306,3,3,306_3_2023-08-08,1,8521,3.3333333333333335,10,5,1
306,3,3,306_3_2023-08-08,2,5733,5,15,5,1
306,3,3,306_3_2023-08-08,3,2380,0,0,0,3
308,1,1,308_1_2023-08-18,1,4337,0,0,0,3
308,1,1,308_1_2023-08-18,2,6223,0,0,0,3
308,1,1,308_1_2023-08-18,3,3895,0,0,0,3
308,2,2,308_2_2023-08-18,1,5875,3.3333333333333335,10,5,1
308,2,2,308_2_2023-08-18,2,2329,3.3333333333333335,10,5,1
308,2,2,308_2_2023-08-18,3,3362,0,0,0,3
308,3,3,308_3_2023-08-18,1,4985,0,0,0,3
308,3,3,308_3_2023-08-18,2,6394,3.3333333333333335,10,5,1
308,3,3,308_3_2023-08-18,3,3712,0,0,0,3
309,1,1,309_1_2023-09-12,1,9203,2.3570226039551585,7.0710678118654755,0,2
309,1,1,309_1_2023-09-12,2,11048,5.393446629166316,16.18033988749895,5,1
309,1,1,309_1_2023-09-12,3,8876,1.6666666666666667,5,0,2
309,2,2,309_2_2023-09-12,1,4332,3.3333333333333335,10,5,1
309,2,2,309_2_2023-09-12,2,8087,3.3333333333333335,10,5,1
309,2,2,309_2_2023-09-12,3,4392,2.3570226039551585,7.0710678118654755,0,2
312,1,1,312_1_2023-09-12,1,6946,1.6666666666666667,5,0,2
312,1,1,312_1_2023-09-12,2,3080,1.6666666666666667,5,0,2
312,1,1,312_1_2023-09-12,3,5751,5.6903559372884915,17.071067811865476,5,0
312,2,2,312_2_2023-09-12,1,3762,2.3570226039551585,7.0710678118654755,0,2
312,2,2,312_2_2023-09-12,2,3478,0,0,0,3
312,2,2,312_2_2023-09-12,3,3969,5,15,5,0
312,3,3,312_3_2023-09-12,1,2116,0,0,0,3
312,3,3,312_3_2023-09-12,2,3204,1.6666666666666667,5,0,2
312,3,3,312_3_2023-09-12,3,4669,0,0,0,3
313,1,1,313_1_2023-11-14,1,3608,3.72677996249965,11.180339887498949,0,2
313,1,1,313_1_2023-11-14,2,3890,7.3570226039551585,22.071067811865476,7.0710678118654755,0
313,1,1,313_1_2023-11-14,3,4035,7.060113295832983,21.18033988749895,5,0
313,2,2,313_2_2023-11-14,1,2988,2.3570226039551585,7.0710678118654755,0,2
313,2,2,313_2_2023-11-14,2,7076,7.3570226039551585,22.071067811865476,7.0710678118654755,0
313,2,2,313_2_2023-11-14,3,6048,9.417135899788141,28.251407699364425,10,0
313,3,3,313_3_2023-11-14,1,3628,6.937129433613966,20.811388300841898,5,1
313,3,3,313_3_2023-11-14,2,3326,10.393446629166316,31.18033988749895,11.180339887498949,0
313,3,3,313_3_2023-11-14,3,3030,4.0236892706218255,12.071067811865476,5,1
314,1,1,314_1_2023-09-14,1,6351,7.750469233121475,23.251407699364425,7.0710678118654755,0
314,1,1,314_1_2023-09-14,2,2167,0,0,0,3
314,1,1,314_1_2023-09-14,3,8765,6.666666666666667,20,5,0
314,2,2,314_2_2023-09-14,1,4934,0,0,0,3
314,2,2,314_2_2023-09-14,2,6244,6.666666666666667,20,10,1
314,2,2,314_2_2023-09-14,3,2473,0,0,0,3
314,3,3,314_3_2023-09-14,1,5113,3.3333333333333335,10,5,1
314,3,3,314_3_2023-09-14,2,9420,6.666666666666667,20,5,0
314,3,3,314_3_2023-09-14,3,2847,0,0,0,3
315,1,1,315_1_2023-10-11,1,6798,0,0,0,3
315,1,1,315_1_2023-10-11,2,9769,3.3333333333333335,10,0,2
315,1,1,315_1_2023-10-11,3,7324,6.380711874576984,19.14213562373095,7.0710678118654755,0
315,2,2,315_2_2023-10-11,1,11206,4.0236892706218255,12.071067811865476,5,1
315,2,2,315_2_2023-10-11,2,9504,1.6666666666666667,5,0,2
315,2,2,315_2_2023-10-11,3,11062,8.440825170409967,25.3224755112299,11.180339887498949,1
315,3,3,315_3_2023-10-11,1,2680,0,0,0,3
315,3,3,315_3_2023-10-11,2,7487,1.6666666666666667,5,0,2
315,3,3,315_3_2023-10-11,3,7926,7.060113295832983,21.18033988749895,5,0
316,1,1,316_1_2023-10-06,1,3800,0,0,0,3
316,1,1,316_1_2023-10-06,2,4024,0,0,0,3
316,1,1,316_1_2023-10-06,3,4732,0,0,0,3
316,2,2,316_2_2023-10-06,1,3299,0,0,0,3
316,2,2,316_2_2023-10-06,2,6033,2.3570226039551585,7.0710678118654755,0,2
316,2,2,316_2_2023-10-06,3,3608,0,0,0,3
