id,session,session_seq,visit_id,ss_median_rt_accurate,ss_n_accurate,dm_median_error_distance,dm_mean_error_distance,cs_hit_rate,cs_fa_rate,cs_prop_correct,cs_correc,ss_seconds
305,1,1,305_1_2023-08-02,3592,17,10,8.333333333333334,0.4,0,0.7,0.4,3.592
305,2,2,305_2_2023-08-02,2968,18,10,10,0.6,0,0.8,0.6,2.968
305,3,3,305_3_2023-08-02,3095.5,18,10,6.666666666666667,0.4,0,0.7,0.4,3.0955
306,1,1,306_1_2023-08-08,2577,17,5,6.666666666666666,0.2,0,0.6,0.2,2.577
306,2,2,306_2_2023-08-08,2975.5,18,10,9.714045207910317,0.2,0,0.6,0.2,2.9755
306,3,3,306_3_2023-08-08,3085,17,10,8.333333333333334,1,0,1,1,3.085
308,1,1,308_1_2023-08-18,2596.5,18,0,0,0.8,0,0.9,0.8,2.5965
308,2,2,308_2_2023-08-18,2259.5,16,10,6.666666666666667,0.8,0.2,0.8,0.6000000000000001,2.2595
308,3,3,308_3_2023-08-18,2607,17,0,3.333333333333333,1,0.2,0.9,0.8,2.607
309,1,1,309_1_2023-09-12,2040,16,7.0710678118654755,9.417135899788141,1,0,1,1,2.04
309,2,2,309_2_2023-09-12,1543,16,10,9.023689270621825,0.2,0,0.6,0.2,1.543
312,1,1,312_1_2023-09-12,2398,18,5,9.023689270621825,0.2,0.2,0.5,0,2.398
312,2,2,312_2_2023-09-12,1953,17,7.0710678118654755,7.3570226039551585,0.6,0,0.8,0.6,1.953
312,3,3,312_3_2023-09-12,1901,17,0,1.6666666666666665,0.8,0,0.9,0.8,1.901
313,1,1,313_1_2023-11-14,1875,16,21.18033988749895,18.14391586228779,0.6,0,0.8,0.6,1.875
313,2,2,313_2_2023-11-14,1669,15,22.071067811865476,19.13118110769846,0.4,0.4,0.5,0,1.669
313,3,3,313_3_2023-11-14,1466,15,20.811388300841898,21.354265333402108,0.4,0.4,0.5,0,1.466
314,1,1,314_1_2023-09-14,1784.5,18,20,14.417135899788141,0.4,0.4,0.5,0,1.7845
314,2,2,314_2_2023-09-14,1621,17,0,6.666666666666666,0.6,0,0.8,0.6,1.621
314,3,3,314_3_2023-09-14,1929,17,10,10,0.4,0.2,0.6,0.2,1.929
315,1,1,315_1_2023-10-11,4184.5,18,10,9.714045207910317,0.8,0.2,0.8,0.6000000000000001,4.1845
315,2,2,315_2_2023-10-11,3270,18,12.071067811865476,14.131181107698458,0.4,0.2,0.6,0.2,3.27
315,3,3,315_3_2023-10-11,3383.5,18,5,8.72677996249965,0.6,0.2,0.7,0.39999999999999997,3.3835
316,1,1,316_1_2023-10-06,2990,18,0,0,0.8,0.2,0.8,0.6000000000000001,2.99
316,2,2,316_2_2023-10-06,2608.5,18,0,2.3570226039551585,0.8,0,0.9,0.8,2.6085
316,3,3,316_3_2023-10-06,2327.5,18,0,1.6666666666666665,0.8,0,0.9,0.8,2.3275
317,1,1,317_1_2023-10-13,3285.5,18,14.142135623730951,13.047378541243651,0.4,0.2,0.6,0.2,3.2855
317,2,2,317_2_2023-10-13,2696,18,20,19.023689270621826,0.2,0.2,0.5,0,2.696
317,3,3,317_3_2023-10-13,2383.5,18,23.251407699364425,22.044621270690598,0.4,0.2,0.6,0.2,2.3835
318,1,1,318_1_2024-01-10,1433.5,18,0,1.6666666666666665,0.6,0.4,0.6,0.19999999999999996,1.4335
318,2,2,318_2_2024-01-10,1375.5,18,0,1.6666666666666665,1,0,1,1,1.3755
318,3,3,318_3_2024-01-10,1767,17,0,0,0.8,0,0.9,0.8,1.767
319,1,1,319_1_2024-01-05,4085,17,5,6.666666666666666,0.6,0.6,0.5,0,4.085
319,2,2,319_2_2024-01-05,2949,17,17.071067811865476,19.294152037569123,0.4,0,0.7,0.4,2.949
319,3,3,319_3_2024-01-05,3620,17,5,9.417135899788141,0.4,0,0.7,0.4,3.62
320,1,1,320_1_2024-01-24,3710,18,0,3.333333333333333,0.6,0,0.8,0.6,3.71
320,2,2,320_2_2024-01-24,3302.5,18,5,5,0.6,0.2,0.7,0.39999999999999997,3.3025
320,3,3,320_3_2024-01-24,2366.5,18,12.071067811865476,10.690355937288492,0.2,0,0.6,0.2,2.3665
321,1,1,321_1_2024-02-05,3321,18,10,11.666666666666666,0.6,0.2,0.7,0.39999999999999997,3.321
321,2,2,321_2_2024-02-05,3609.5,18,5,3.3333333333333335,0.2,0.2,0.5,0,3.6095
321,3,3,321_3_2024-02-05,2159.5,18,5,5,0.6,1,0.3,-0.4,2.1595
322,1,1,322_1_2024-02-13,3790.5,18,7.0710678118654755,7.3570226039551585,0.8,0.2,0.8,0.6000000000000001,3.7905
322,2,2,322_2_2024-02-13,3300.5,18,19.14213562373095,16.094757082487302,1,0,1,1,3.3005
322,3,3,322_3_2024-02-13,3608.5,18,7.0710678118654755,8.047378541243651,0.8,0,0.9,0.8,3.6085
323,1,1,323_1_2024-02-19,2794.5,18,10,7.3570226039551585,0.6,0,0.8,0.6,2.7945
323,2,2,323_2_2024-02-19,2453,18,12.071067811865476,14.417135899788141,0.2,0,0.6,0.2,2.453
323,3,3,323_3_2024-02-19,2370.5,18,0,5,0.4,0,0.7,0.4,2.3705
324,1,1,324_1_2024-02-28,3479.5,18,10,7.3570226039551585,0.8,0,0.9,0.8,3.4795
324,2,2,324_2_2024-02-28,4610.5,18,12.071067811865476,12.357022603955159,0.2,0,0.6,0.2,4.6105
324,3,3,324_3_2024-02-28,4054.5,18,12.071067811865476,9.714045207910317,0.6,0,0.8,0.6,4.0545
325,1,1,325_1_2024-02-22,3313,18,5,5.6903559372884915,1,0,1,1,3.313
