id,session,session_seq,visit_id,trial,trial_type,response_time,accuracy
305,1,1,305_1_2023-08-02,1,NORMAL,4011,1
305,1,1,305_1_2023-08-02,2,LURE,4858,1
305,1,1,305_1_2023-08-02,3,LURE,2377,0
305,1,1,305_1_2023-08-02,4,NORMAL,2873,1
305,1,1,305_1_2023-08-02,5,NORMAL,3537,1
305,1,1,305_1_2023-08-02,6,NORMAL,3100,1
305,1,1,305_1_2023-08-02,7,NORMAL,3799,1
305,1,1,305_1_2023-08-02,8,NORMAL,2672,1
305,1,1,305_1_2023-08-02,9,NORMAL,4540,1
305,1,1,305_1_2023-08-02,10,NORMAL,3592,1
305,1,1,305_1_2023-08-02,11,LURE,3688,1
305,1,1,305_1_2023-08-02,12,LURE,3825,1
305,1,1,305_1_2023-08-02,13,LURE,3349,1
305,1,1,305_1_2023-08-02,14,NORMAL,2336,1
305,1,1,305_1_2023-08-02,15,LURE,3454,1
305,1,1,305_1_2023-08-02,16,LURE,4908,1
305,1,1,305_1_2023-08-02,17,LURE,3321,1
305,1,1,305_1_2023-08-02,18,LURE,3839,1
305,2,2,305_2_2023-08-02,1,LURE,3388,1
305,2,2,305_2_2023-08-02,2,NORMAL,1544,1
305,2,2,305_2_2023-08-02,3,NORMAL,1880,1
305,2,2,305_2_2023-08-02,4,LURE,3082,1
305,2,2,305_2_2023-08-02,5,NORMAL,4588,1
305,2,2,305_2_2023-08-02,6,NORMAL,3630,1
305,2,2,305_2_2023-08-02,7,NORMAL,2854,1
305,2,2,305_2_2023-08-02,8,LURE,1751,1
305,2,2,305_2_2023-08-02,9,LURE,2531,1
305,2,2,305_2_2023-08-02,10,LURE,2159,1
305,2,2,305_2_2023-08-02,11,LURE,2798,1
305,2,2,305_2_2023-08-02,12,LURE,3239,1
305,2,2,305_2_2023-08-02,13,NORMAL,2638,1
305,2,2,305_2_2023-08-02,14,NORMAL,3526,1
305,2,2,305_2_2023-08-02,15,NORMAL,2054,1
305,2,2,305_2_2023-08-02,16,LURE,3529,1
305,2,2,305_2_2023-08-02,17,NORMAL,3882,1
305,2,2,305_2_2023-08-02,18,LURE,4426,1
305,3,3,305_3_2023-08-02,1,LURE,2750,1
305,3,3,305_3_2023-08-02,2,NORMAL,3355,1
305,3,3,305_3_2023-08-02,3,LURE,3257,1
305,3,3,305_3_2023-08-02,4,LURE,3100,1
305,3,3,305_3_2023-08-02,5,LURE,3760,1
305,3,3,305_3_2023-08-02,6,NORMAL,4243,1
305,3,3,305_3_2023-08-02,7,LURE,3916,1
305,3,3,305_3_2023-08-02,8,LURE,2448,1
305,3,3,305_3_2023-08-02,9,LURE,3154,1
305,3,3,305_3_2023-08-02,10,LURE,2168,1
305,3,3,305_3_2023-08-02,11,NORMAL,3239,1
305,3,3,305_3_2023-08-02,12,NORMAL,2427,1
305,3,3,305_3_2023-08-02,13,NORMAL,2002,1
305,3,3,305_3_2023-08-02,14,LURE,2054,1
305,3,3,305_3_2023-08-02,15,NORMAL,3152,1
305,3,3,305_3_2023-08-02,16,NORMAL,2276,1
305,3,3,305_3_2023-08-02,17,NORMAL,2067,1
305,3,3,305_3_2023-08-02,18,NORMAL,3091,1
306,1,1,306_1_2023-08-08,1,NORMAL,3337,1
306,1,1,306_1_2023-08-08,2,NORMAL,10290,1
306,1,1,306_1_2023-08-08,3,LURE,2490,1
306,1,1,306_1_2023-08-08,4,NORMAL,2481,1
