task,person,occasion,unit,unit_type,value
color_shapes,305,1,1,half,0.5
color_shapes,305,1,2,half,0.3333333333333333
color_shapes,305,2,1,half,0.5
color_shapes,305,2,2,half,0.6666666666666666
color_shapes,305,3,1,half,0.5
color_shapes,305,3,2,half,0.3333333333333333
color_shapes,306,1,1,half,0
color_shapes,306,1,2,half,0.3333333333333333
color_shapes,306,2,1,half,0.5
color_shapes,306,2,2,half,0
color_shapes,306,3,1,half,1
color_shapes,306,3,2,half,1
color_shapes,308,1,1,half,0.6666666666666666
color_shapes,308,1,2,half,1
color_shapes,308,2,1,half,1
color_shapes,308,2,2,half,0.16666666666666669
color_shapes,308,3,1,half,0.6666666666666667
color_shapes,308,3,2,half,1
color_shapes,309,1,1,half,1
color_shapes,309,1,2,half,1
color_shapes,309,2,1,half,0.3333333333333333
color_shapes,309,2,2,half,0
color_shapes,312,1,1,half,-0.25
color_shapes,312,1,2,half,0.25
color_shapes,312,2,1,half,0.3333333333333333
color_shapes,312,2,2,half,1
color_shapes,312,3,1,half,1
color_shapes,312,3,2,half,0.6666666666666666
color_shapes,313,1,1,half,0.5
color_shapes,313,1,2,half,0.6666666666666666
color_shapes,313,2,1,half,-0.16666666666666669
color_shapes,313,2,2,half,0.16666666666666669
color_shapes,313,3,1,half,0.16666666666666669
color_shapes,313,3,2,half,-0.16666666666666669
color_shapes,314,1,1,half,-0.6666666666666666
color_shapes,314,1,2,half,0.6666666666666666
color_shapes,314,2,1,half,0.5
color_shapes,314,2,2,half,1
color_shapes,314,3,1,half,0.16666666666666669
color_shapes,314,3,2,half,0.3333333333333333
color_shapes,315,1,1,half,1
color_shapes,315,1,2,half,0.16666666666666669
color_shapes,315,2,1,half,0
color_shapes,315,2,2,half,0.6666666666666667
color_shapes,315,3,1,half,0.16666666666666663
color_shapes,315,3,2,half,0.5
color_shapes,316,1,1,half,-0.25
color_shapes,316,1,2,half,1
color_shapes,316,2,1,half,1
color_shapes,316,2,2,half,0.6666666666666666
color_shapes,316,3,1,half,1
color_shapes,316,3,2,half,0.6666666666666666
color_shapes,317,1,1,half,0.5
color_shapes,317,1,2,half,-0.25
color_shapes,317,2,1,half,0.25
color_shapes,317,2,2,half,-0.25
color_shapes,317,3,1,half,0.16666666666666663
color_shapes,317,3,2,half,0
color_shapes,318,1,1,half,0.5
color_shapes,318,1,2,half,-0.3333333333333333
color_shapes,318,2,1,half,1
color_shapes,318,2,2,half,1
color_shapes,318,3,1,half,0
color_shapes,318,3,2,half,1
color_shapes,319,1,1,half,-0.6666666666666666
color_shapes,319,1,2,half,0.5
color_shapes,319,2,1,half,0.3333333333333333
color_shapes,319,2,2,half,0.5
color_shapes,319,3,1,half,0
color_shapes,319,3,2,half,0.5
color_shapes,320,1,1,half,0.3333333333333333
color_shapes,320,1,2,half,1
color_shapes,320,2,1,half,-0.16666666666666669
color_shapes,320,2,2,half,1
color_shapes,320,3,1,half,0.3333333333333333
color_shapes,320,3,2,half,0
color_shapes,321,1,1,half,0.3333333333333333
color_shapes,321,1,2,half,0.6666666666666667
color_shapes,321,2,1,half,-0.3333333333333333
color_shapes,321,2,2,half,0.3333333333333333
color_shapes,321,3,1,half,0
color_shapes,321,3,2,half,-0.6666666666666667
color_shapes,322,1,1,half,0.6666666666666667
color_shapes,322,1,2,half,0.6666666666666666
color_shapes,322,2,1,half,1
color_shapes,322,2,2,half,1
color_shapes,322,3,1,half,1
color_shapes,322,3,2,half,0
color_shapes,323,1,1,half,0.6666666666666666
color_shapes,323,1,2,half,0.5
color_shapes,323,2,1,half,0
color_shapes,323,2,2,half,0.3333333333333333
color_shapes,323,3,1,half,0
color_shapes,323,3,2,half,0.5
color_shapes,324,1,1,half,1
color_shapes,324,1,2,half,0.75
color_shapes,324,2,1,half,0
color_shapes,324,2,2,half,0.3333333333333333
color_shapes,324,3,1,half,0.5
color_shapes,324,3,2,half,1
color_shapes,325,1,1,half,1
color_shapes,325,1,2,half,1
color_shapes,325,2,1,half,0
color_shapes,325,2,2,half,0.3333333333333333
color_shapes,325,3,1,half,1
color_shapes,325,3,2,half,0.16666666666666669
color_shapes,326,1,1,half,0.16666666666666669
color_shapes,326,1,2,half,0.5
